user_id,register_date,platform,country_code,ftd_returning_users,n_of_purchases,total_spend,avg_spend_per_purchase,ftd_date,dfr_to_1st_purchase,purchase_amount_1st_purchase,coins_received_1st_purchase,balance_before_1st_purchase,spins_bf_1st_purchase,xp_level_1st_purchase,date_2nd_purchase,dfr_to_2nd_purchase,purchase_amount_2nd_purchase,coins_received_2nd_purchase,balance_before_2nd_purchase,spins_bf_2nd_purchase,xp_level_2nd_purchase
ce0be82d-895f-476e-a35f-6232df3fc677,2023-01-12,ANDROID,XX,No,1,0.2890975305030767,0.2890975305030767,2023-01-14,2,0.2890975305030767,50000000,434800,247,20,,,,,,0,
334b490f-a55d-455e-8a8d-aa541e4d671e,2023-03-04,ANDROID,XX,No,1,0.99,0.99,2023-03-04,0,0.99,15000000,6779145,247,18,,,,,,0,
0cf52444-8e72-41f8-99e6-4c6c29d76a18,2023-03-29,ANDROID,HU,Yes,14,0.11866000790383911,0.008475714850274223,2023-03-30,1,0.002831391775317837,10000000,267930,1918,81,2023-03-30,1,0.002831391775317837,10000000,605430,2091,85
b98d2058-2a55-4f2a-b2d5-2c480052133a,2023-04-28,IOS,US,No,1,2.99,2.99,2023-04-28,0,2.99,30000000,8891250,15,3,,,,,,0,
ed7c7f38-92de-45f5-9c0d-78c03c422b60,2023-05-12,ANDROID,US,No,1,0.99,0.99,2023-06-02,21,0.99,15000000,323535,2990,56,,,,,,0,
fc52abcd-cf83-4457-b703-6f136020deaa,2023-01-29,ANDROID,US,No,1,2.99,2.99,2023-01-30,1,2.99,30000000,9766125,946,14,,,,,,0,
30624b6f-b2b7-4122-87e8-12d2deb59d3a,2023-03-13,IOS,US,No,1,0.99,0.99,2023-03-13,0,0.99,50000000,4609950,342,21,,,,,,0,
b05e6221-0884-4b48-88c7-b4730b67e9d6,2023-03-20,ANDROID,US,Yes,2,3.9800000000000004,1.9900000000000002,2023-03-23,3,0.99,10000000,507313,820,33,2023-03-23,3,2.99,100000000,10507313,820,33
9cabb99e-ee6e-4116-8c65-37cdc2e816ba,2023-05-19,IOS,US,No,1,0.99,0.99,2023-05-22,3,0.99,13000000,331450,394,30,,,,,,0,
9215a6c1-fad9-498c-8a27-00bb73342351,2023-02-23,ANDROID,XX,Yes,9,2.942218368910411,0.3269131521011568,2023-02-24,1,0.19153807706690618,3000000,1688,1034,53,2023-02-24,1,0.19153807706690618,3000000,1238,1070,53
d7636ed6-72a4-413f-b850-15b95c9827b0,2023-05-16,ANDROID,US,Yes,3,9.97,3.3233333333333337,2023-05-16,0,1.99,24000000,11359145,42,6,2023-05-16,0,3.99,48000000,84863895,148,12
6df11223-2c3f-4d6f-b332-130da71c2444,2023-02-08,ANDROID,XX,No,1,0.002783384898773292,0.002783384898773292,2023-02-15,7,0.002783384898773292,10000000,862120,2118,55,,,,,,0,
53c6d6c5-0368-4dfe-b82a-2775de0bf2d7,2023-02-18,ANDROID,US,No,1,5.99,5.99,2023-02-18,0,5.99,66000000,13958125,110,8,,,,,,0,
5c876950-cecd-4053-9c40-8b9fa925774f,2023-03-12,IOS,US,No,1,0.99,0.99,2023-03-16,4,0.99,50000000,10819825,684,72,,,,,,0,
ea75f34c-41c9-4e99-9155-056458664c7b,2023-03-14,IOS,XX,No,1,0.99,0.99,2023-03-14,0,0.99,50000000,2998625,218,19,,,,,,0,
d72fbbf5-76a2-4df5-b2f6-d327d11165d0,2023-04-01,ANDROID,US,No,1,2.99,2.99,2023-04-01,0,2.99,37500000,3484985,264,18,,,,,,0,
7d19dbd6-d6df-451a-8f88-94b443d1ac53,2023-05-01,ANDROID,US,No,1,0.99,0.99,2023-05-02,1,0.99,12000000,91610,372,31,,,,,,0,
c25c83be-1f7a-4ff2-8543-e52dd19427f7,2023-05-09,ANDROID,US,No,1,0.99,0.99,2023-05-27,18,0.99,14000000,171650,795,28,,,,,,0,
405fdfef-afa9-4f6c-9dea-f0e04c1c5842,2023-05-11,ANDROID,XX,Yes,2,1.6394040526778784,0.8197020263389392,2023-05-11,0,0.8197020263389392,,,195,13,2023-05-11,0,0.8197020263389392,,,279,18
dca6c550-1e8e-47fe-86c5-13618026943c,2023-02-08,ANDROID,US,No,1,0.01809145358782508,0.01809145358782508,2023-02-08,0,0.01809145358782508,10000000,13086900,12,3,,,,,,0,
a7516579-9c20-4a96-86ea-4dc0ff8f7556,2023-03-05,IOS,XX,No,1,0.99,0.99,2023-03-05,0,0.99,15000000,524550,406,51,,,,,,0,
d20c63ab-6972-488d-bc60-02cde02ef29e,2023-05-19,ANDROID,US,No,1,2.99,2.99,2023-05-19,0,2.99,48000000,10225400,186,11,,,,,,0,
1b04fe28-3d61-4d79-8b1f-8048f9e97c19,2023-03-05,IOS,US,No,1,0.99,0.99,2023-03-05,0,0.99,10000000,16036440,558,19,,,,,,0,
720d886d-2cea-4c1c-87f2-495f04586eaf,2023-03-27,ANDROID,US,Yes,2,3.9800000000000004,1.9900000000000002,2023-04-01,5,0.99,26000000,1299750,450,36,2023-04-02,6,2.99,33000000,343950,666,41
71dca7b2-f8d7-4822-aded-61c943d9e24e,2023-04-20,ANDROID,XX,No,1,0.8220834232722992,0.8220834232722992,2023-04-30,10,0.8220834232722992,30000000,10921250,10,2,,,,,,0,
4a824ed8-a69d-4ead-8f95-1f847bc430a7,2023-05-24,ANDROID,US,Yes,2,5.98,2.99,2023-05-24,0,1.99,24000000,1422150,266,18,2023-05-24,0,3.99,80000000,312510,678,55
c866afcf-9e0f-477d-ba9a-ff54d24fb3f5,2023-02-18,ANDROID,US,Yes,2,3.9800000000000004,1.9900000000000002,2023-02-18,0,2.99,30000000,13609550,10,3,2023-02-18,0,0.99,3000000,43609550,10,3
5f7a3647-ca6c-49e4-8a12-36e48155c0ed,2023-04-17,ANDROID,XX,No,1,2.742161948842881,2.742161948842881,2023-04-17,0,2.742161948842881,150000000,9997500,58,6,,,,,,0,
6c1bcbf2-fe0f-4d3c-afb4-781154f8520e,2023-04-25,ANDROID,XX,Yes,2,3.98,1.99,2023-05-13,18,1.99,60000000,1445600,1124,28,2023-05-14,19,1.99,28000000,147858200,1170,34
ad6a731d-b987-46b8-8b9b-f6c580f3d7c3,2023-05-09,ANDROID,US,No,1,0.99,0.99,2023-05-22,13,0.99,34000000,22675,597,63,,,,,,0,
222c8a16-1798-4d44-b8a3-cd6285c62435,2023-05-13,ANDROID,US,No,1,0.99,0.99,2023-05-28,15,0.99,14000000,90915,715,31,,,,,,0,
ec4dad15-da91-4f4a-8bbc-09472062a8e6,2023-05-15,IOS,US,Yes,3,7.970000000000001,2.6566666666666667,2023-05-18,3,1.99,80000000,263250,669,54,2023-06-08,24,1.99,40000000,75768,5313,122
3b766e6d-7d8a-4a7b-bd60-3328b50b10cd,2023-05-30,IOS,US,No,1,1.99,1.99,2023-05-31,1,1.99,28000000,731450,476,17,,,,,,0,
0e9af668-fc3c-4aae-9cd9-b8795adf3810,2023-01-22,ANDROID,XX,No,1,0.99,0.99,2023-01-23,1,0.99,3000000,11004375,42,6,,,,,,0,
226da485-3414-4038-bf93-27134e53f8f6,2023-02-13,ANDROID,US,Yes,11,39.89,3.6263636363636365,2023-05-15,91,1.99,60000000,494530543,60646,110,2023-05-23,99,2.99,36000000,588919793,66544,112
0949e55f-a0ed-420b-9fba-bc6edbbae33a,2023-06-01,ANDROID,XX,Yes,10,46.9,4.6899999999999995,2023-06-02,1,2.99,,,195,11,2023-06-02,1,2.99,,,282,15
539e55ea-3f9e-436e-9893-db7268f0c64c,2023-05-08,IOS,NL,No,1,0.99,0.99,2023-05-11,3,0.99,31000000,49304405,10350,121,,,,,,0,
4bcadd12-cb73-45c1-a0dc-2566b0b97777,2023-05-21,ANDROID,US,Yes,3,8.97,2.99,2023-05-24,3,0.99,11000000,4723200,493,21,2023-05-24,3,3.99,48000000,20472400,943,40
3b01e19a-a07d-455c-bf15-8633946eea13,2023-05-28,ANDROID,US,No,1,0.99,0.99,2023-05-29,1,0.99,12000000,1530,269,16,,,,,,0,
d0e16aa9-fa79-4a4b-a527-ee40b8ec3207,2023-01-25,ANDROID,US,No,1,2.99,2.99,2023-01-25,0,2.99,100000000,166875,342,21,,,,,,0,
0d27a96a-145b-4979-a50a-77eb239a5c87,2023-02-20,ANDROID,US,No,1,0.99,0.99,2023-02-23,3,0.99,3000000,1050400,3436,62,,,,,,0,
a88577bb-a962-48fd-a123-7d2dbb416e05,2023-03-16,IOS,NL,Yes,6,20.94,3.49,2023-03-19,3,2.99,30000000,650,883,22,2023-03-19,3,2.99,30000000,2709565,1024,36
93123c14-8850-4209-9e57-67fe6862f8d8,2023-05-18,ANDROID,US,No,1,0.99,0.99,2023-05-25,7,0.99,14000000,10985325,94,7,,,,,,0,
9c76b76c-1c02-4ea4-be4f-3e920cc8fa42,2023-06-13,IOS,GB,Yes,2,5.98,2.99,2023-06-13,0,1.99,28000000,512200,273,21,2023-06-13,0,3.99,120000000,32057690,515,73
bfa50c6e-88c6-4c18-a277-ece3530b4384,2023-01-17,ANDROID,XX,Yes,2,1.1329818034937216,0.5664909017468608,2023-02-08,22,0.8580424049032243,13500000,15534120,438,78,2023-03-10,52,0.2749393985904973,60000000,3878,1495,95
441e5961-df8d-4fae-b6b1-849cdb866a64,2023-02-07,ANDROID,PH,No,1,0.017926258031004387,0.017926258031004387,2023-02-07,0,0.017926258031004387,10000000,10561875,35,5,,,,,,0,
d9303331-5358-45f6-bc2e-70ffda5f6fde,2023-02-17,ANDROID,XX,No,1,0.99,0.99,2023-02-17,0,0.99,15000000,1035875,489,68,,,,,,0,
b36143ff-e984-457b-ae99-133372f9e928,2023-03-05,IOS,US,Yes,2,1.98,0.99,2023-03-06,1,0.99,15000000,632650,551,33,2023-03-06,1,0.99,3000000,47275,764,61
c80b5586-d6a5-4f03-a41f-8c66510b6f89,2023-03-26,IOS,XX,No,1,1.99,1.99,2023-05-08,43,1.99,60000000,426400,940,27,,,,,,0,
5945b29e-6877-4893-9c64-70ff5cc54dbb,2023-05-14,IOS,CA,No,1,9.99,9.99,2023-05-21,7,9.99,150000000,6295190,273,23,,,,,,0,
694a337a-73fe-4776-b18e-b9fd9c44d49f,2023-05-09,ANDROID,US,No,1,1.99,1.99,2023-05-10,1,1.99,24000000,10243150,147,10,,,,,,0,
31711b31-1913-47f1-86d5-f3192d78f461,2023-06-08,IOS,US,Yes,2,6.98,3.49,2023-06-12,4,2.99,170000000,16193700,1872,123,2023-06-12,4,3.99,160000000,1818700,2057,141
1cf487ff-2099-4f9b-8f7f-4e7be673f331,2023-06-21,IOS,XX,No,1,2.99,2.99,2023-06-21,0,2.99,36000000,3044810,549,18,,,,,,0,
efa12be1-e747-4af8-84a1-cb7259fb9d02,2023-01-22,ANDROID,XX,No,1,0.99,0.99,2023-02-04,13,0.99,10000000,17720325,106,9,,,,,,0,
8a1ef533-6eb6-4713-9498-e934d99a3970,2023-02-09,ANDROID,US,No,1,2.99,2.99,2023-02-24,15,2.99,100000000,13772500,104,7,,,,,,0,
b31bd602-c516-4ed9-a8f8-6630fc7987b8,2023-03-18,IOS,CA,No,1,0.99,0.99,2023-03-18,0,0.99,10000000,1525,1720,31,,,,,,0,
73d6b268-4d6b-4959-bc36-780383a39f61,2023-05-03,ANDROID,US,Yes,3,7.970000000000001,2.6566666666666667,2023-05-08,5,0.99,13000000,7376190,1491,29,2023-06-01,29,2.99,30000000,7764315,7049,119
5efac692-8a3a-4ac2-ab74-62465c6918a0,2023-01-08,ANDROID,XX,No,1,2.861087581895929,2.861087581895929,2023-01-09,1,2.861087581895929,150000000,3440650,694,65,,,,,,0,
09852f22-8466-40b6-b0d1-e6c012e326bc,2023-03-04,IOS,US,No,1,0.99,0.99,2023-03-05,1,0.99,50000000,6360,620,25,,,,,,0,
5c92592f-2d7c-44e8-b2d7-af7000d09bf6,2023-03-14,ANDROID,US,No,1,9.99,9.99,2023-03-15,1,9.99,150000000,16667135,222,11,,,,,,0,
feee0f92-3990-42eb-8f4a-39e1d309c606,2023-04-01,ANDROID,US,No,1,0.99,0.99,2023-04-02,1,0.99,42500000,1310,651,65,,,,,,0,
eb83c343-b3c3-4295-93b6-7615fadd572e,2023-04-16,ANDROID,US,Yes,2,3.98,1.99,2023-04-17,1,1.99,60000000,163075,686,53,2023-05-19,33,1.99,28000000,66149,1753,85
b1ee3404-f89e-4873-b477-204dce076c80,2023-04-18,ANDROID,US,No,1,0.99,0.99,2023-04-24,6,0.99,14000000,10541200,36,4,,,,,,0,
a58ef74f-33ef-497d-85be-3a4b83404f29,2023-04-21,ANDROID,US,No,1,0.99,0.99,2023-04-27,6,0.99,14000000,23213975,147,11,,,,,,0,
0df83798-fcb5-4808-8c54-6e026484cb91,2023-02-18,ANDROID,MX,No,1,0.05330997172081873,0.05330997172081873,2023-02-18,0,0.05330997172081873,50000000,431250,259,22,,,,,,0,
5ece3ce4-46ed-4d13-8c8a-967992ad029d,2023-03-18,IOS,US,No,1,0.99,0.99,2023-06-06,80,0.99,14000000,18868833,184,11,,,,,,0,
bdaece7c-edf3-40c4-a1a8-39712b2dcdd1,2023-03-26,IOS,XX,No,1,0.99,0.99,2023-03-29,3,0.99,24000000,13631,1707,72,,,,,,0,
da9f5e06-81f8-4a99-947c-67ad2ae0e511,2023-04-23,ANDROID,US,Yes,2,5.98,2.99,2023-04-23,0,1.99,24000000,12258750,73,5,2023-04-23,0,3.99,48000000,36045500,104,7
a65538f9-1c2d-46a3-98ea-bc00a7b7a841,2023-05-13,ANDROID,XX,Yes,5,18.343918020056904,3.668783604011381,2023-05-30,17,1.063655997319587,35000000,4285,17476,131,2023-06-06,24,3.194216992988694,36000000,900515,24281,141
52c9434f-6882-4729-9b39-7fe42cc1e595,2023-06-01,ANDROID,US,No,1,0.99,0.99,2023-06-11,10,0.99,15000000,2188220,859,40,,,,,,0,
c1627f09-a849-4523-9958-20657fa80323,2023-06-02,ANDROID,US,Yes,2,3.9800000000000004,1.9900000000000002,2023-06-02,0,0.99,12000000,633180,249,24,2023-06-02,0,2.99,60000000,911746,327,41
67479855-7087-445a-8f14-a69c0cac958a,2023-02-21,ANDROID,US,No,1,0.99,0.99,2023-03-06,13,0.99,10000000,30997725,216,18,,,,,,0,
3186c269-81f3-49c9-9234-94c356c97efd,2023-03-20,IOS,US,Yes,2,3.9800000000000004,1.9900000000000002,2023-03-20,0,2.99,100000000,12360370,201,12,2023-03-20,0,0.99,10000000,110740870,243,13
20d2029f-0013-4dd5-ba71-fa236d0530d4,2023-05-28,IOS,XX,No,1,2.99,2.99,2023-06-01,4,2.99,48000000,19506185,527,21,,,,,,0,
